"n", "b", "p", "p*", "p*/p", "duration"
5000, 4, 0.14586594, 0.14682899, 1.00660225, 35
10000, 4, 0.14586594, 0.14706957, 1.00825157, 69
15000, 4, 0.14586594, 0.14596812, 1.00070047, 106
20000, 4, 0.14586594, 0.14723043, 1.00935443, 138
25000, 4, 0.14586594, 0.14685652, 1.00679103, 174
30000, 4, 0.14586594, 0.14595072, 1.00058124, 215
35000, 4, 0.14586594, 0.14670870, 1.00577759, 256
40000, 4, 0.14586594, 0.14684638, 1.00672148, 299
45000, 4, 0.14586594, 0.14650580, 1.00438660, 341
50000, 4, 0.14586594, 0.14627826, 1.00282670, 384
5000, 8, 0.02127687, 0.02150000, 1.01048683, 36
10000, 8, 0.02127687, 0.02166000, 1.01800674, 73
15000, 8, 0.02127687, 0.02151447, 1.01116682, 111
20000, 8, 0.02127687, 0.02148979, 1.01000684, 152
25000, 8, 0.02127687, 0.02144979, 1.00812686, 195
30000, 8, 0.02127687, 0.02148979, 1.01000684, 239
35000, 8, 0.02127687, 0.02159809, 1.01509677, 284
40000, 8, 0.02127687, 0.02159106, 1.01476678, 329
45000, 8, 0.02127687, 0.02142043, 1.00674688, 386
50000, 8, 0.02127687, 0.02135021, 1.00344693, 420
5000, 12, 0.00310357, 0.00316280, 1.01908367, 54
10000, 12, 0.00310357, 0.00314285, 1.01265547, 94
15000, 12, 0.00310357, 0.00314760, 1.01418504, 136
20000, 12, 0.00310357, 0.00313019, 1.00857662, 180
25000, 12, 0.00310357, 0.00313100, 1.00883655, 236
30000, 12, 0.00310357, 0.00313903, 1.01142582, 286
35000, 12, 0.00310357, 0.00313013, 1.00855663, 335
40000, 12, 0.00310357, 0.00313441, 1.00993624, 387
45000, 12, 0.00310357, 0.00310630, 1.00087878, 438
50000, 12, 0.00310357, 0.00312144, 1.00575741, 490
5000, 16, 0.00045271, 0.00046758, 1.03286308, 177
10000, 16, 0.00045271, 0.00046248, 1.02158338, 233
15000, 16, 0.00045271, 0.00045835, 1.01247362, 287
20000, 16, 0.00045271, 0.00045629, 1.00791373, 335
25000, 16, 0.00045271, 0.00045427, 1.00346385, 415
30000, 16, 0.00045271, 0.00045709, 1.00968369, 656
35000, 16, 0.00045271, 0.00045737, 1.01030367, 695
40000, 16, 0.00045271, 0.00045722, 1.00998368, 755
45000, 16, 0.00045271, 0.00045459, 1.00415383, 680
50000, 16, 0.00045271, 0.00045331, 1.00134391, 857
